Name of Organizatio}BN,Category,Geography Served,Location of Organization,Website,Type of Organization,Service(s)/About,Special Requirements,Who Can Request,How to Request,Contact Email,Contact Phone,Details/Description,Notes
Massachusetts Alliance for Foster Families - MAFF,Foster Family Support,All of Massachusetts,Each DCF Office has a MAFF Representative,www.mspcc.org/maff,Nonprofit/Community Resource,"An advocacy association dedicated to enhancing the quality of life for children who cannot live with their biological families and for the families who care for them. The MAFF Board meets regularly to identify issues of concern to foster, adoptive, and kinshp parents and to develop and advance solutions.",,,,Cathie Twiraga  cathietwiraga55@gmail.com,,,
Massachusetts Behavioral Health Help Line,Behavioral Health Support 24/7,All of Massachusetts,"200 State Street, Suite 305 Boston MA 02109",masshelpline.com,Government Organization,"The Massachusetts Behavioral Health Help Line (BHHL) is here to connect you directly to clinical help, when and where you need it. Even if you’re not sure what kind of help or treatment you may need, we can help guide you.",N/A,Anyone,"It’s free, confidential, and no health insurance is required.","Ana Artavia-Speight, Community Relations Rep. Central Mass. ana.artavia-speight@carelon.com (mobile # 959-995-2690)",1-833-773-2445,"Call, text, or chat for real-time clinical assessment, 24 hours a day, 365 days a year. ",
Massachusetts Victims of Violent Crime Compensation,Financial Compensation,All of Massachusetts,"Office of the Attorney General Victim Compensation & Assistance One Ashburton Place, 19th Floor, Boston MA 02108-1698, 617-963-2160 Fax 617-742-6262",Massachusetts Victims of Violent Crime Compensation | Mass.gov,Government Organization,"If you or a loved one has been the victim of violent crime, please contact the Victim Compensation staff at the Office of the Attorney General for further assistance. Please note that victim compensation funds are funds of last resort.","If you or a loved one has been the victim of violent crime, please contact the Victim Compensation staff at the Office of the Attorney General for further assistance. Please note that victim compensation funds are funds of last resort.","Victims of violent crimes occurring in Massachusetts, Dependents and family members of homicide victims, Any person responsible for the funeral expenses of a homicide victim.",application for web 040119.pdf (mass.gov),N/A Call tel: 1-617-963-2160 ,Applying for Victims of Violent Crime Assistance | Mass.gov,,
Meryl's Safe Haven (MSH),Families and Aged Out Foster Support,Central Massachusetts ,"P.O. Box 20363
Worcester, MA 01602","Meryl's Safe Haven | shelter | Worcester, MA, USA",Nonprofit/Community Resource,Meryl's Safe Haven (MSH) is dedicated to providing and connecting families and young people who have aged out of the foster care system shelter and resources in our community and beyond. We focus on the whole person for holistic support to address the underlying issues. MSH aims to be an impetus for change that recognizes humanity and the importance of community.,May need a referral ,"Fill out application online and send referral via info email to Meryl's
https://www.merylssafehaven.org/_files/ugd/4f21e6_41aad4e169f848b2ad9c006fb8f7d762.pdf  ",Contact via email or call or website chat,info@merylssafehaven.com,508-304-6158,Shelter; Transportation; Saving; Money Management; Workforce Development; Education,
My Ombudsman,MassHealth Benefits,All of Massachusetts,Boston,myombudsman.org,Nonprofit/Community Resource,,Anyone who has MassHealth care coverage,Anyone who has MassHealth care coverage or caregivers of those with MassHealth care,Real-time interpretation in 200+ languages.,info@myombudsman.org,Mon.-Fri. 9am to 4pm Helpline 855-781-9898 (English and other languages) Videophone 339-224-6831 (for Deaf and Hard of Hearing),"We answer questions about your Masshealth benefits and explain your rights and responsibilities as a MassHealth Member. We help explain denial letters, address problems accessing your health coverage and more. We talk with you, your health care providers, and your MassHealth plan so that everyone understands what you need.",
Montachusett Regional Vocational Technical High School Care Solace,Mental Health and/or Substance Use Support ,"Wachusett Area Towns: Holden, Princeton, Paxton, Rutland and Sterling",1050 Westminster St. Fitchburg MA 01420,caresolace.com/montytech,Nonprofit/Community Resource,​,,"Montachusett Regional Vocational Technical School Students, Families and Staff.",Call or visit website: caresolace.com/montytech Text and Video Chat available,,888-515-0595,,
Net of Compassion,Day to Day Essentials,Worcester County,"Worcester, MA","Net of Compassion in Worcester, MA - Free Food, Free Clothing, Hot Showers, Shelter, Recovery Support, Street Outreach, Volunteer Opportunities, Donation Drop offs",Nonprofit,,N/A,"We serve men and women struggling with poverty, substance use disorder, prostitution, homelessness and those living with mental illness.","Deaf or hard of hearing? Contact MassRelay at 711, or use your video relay or caption provider of choice","674 Main Street C1, ​Worcester, MA 01610; 508-322-1363; info@netofcompassion.org",508-322-1363,"We serve men and women struggling with poverty, substance use disorder, prostitution, homelessness and those living with mental illness.",
"New Hope, Inc.",Domestic Violence Support,Central and Southeast Massachusetts 24/7 Access 1-800-323-HOPE (4673),"Office Locations - New Hope, Inc. (new-hope.org)","Home - New Hope, Inc. (new-hope.org)",Nonprofit/Community Resource,"As an organization, we place value on equity, diversity, and the equal inclusion of individuals from all backgrounds. Through support in providing financial budgeting and management, identifying child care and mental health resources, education, and workforce development opportunities, while meeting the basic needs of food, safety, and shelter. Our mission is to level the field of opportunity for those who enter our doors.","Domestic Violence Services - New Hope, Inc.",24/7 Access to free support and resources For immediate assistance call the hotline 1-800-323-HOPE (4673),,,24/7 Access to free support and resources For immediate assistance call the hotline 1-800-323-HOPE (4673),,
One Can Help (Presented Nov. 2022 - ASK CASA),Emergency Resources,All of Massachusetts,"Newton, MA","One Can Help - Foster children, At-risk youth, Struggling Families. Now.",Nonprofit,"To provide urgently needed resources to help underserved children and families take positive steps forward, in all types of juvenile court cases:  care and protection cases (abuse or neglect), CRA’s (children requiring assistance because of their disability or behavioral issues), Delinquencies, or PYA’s (aging out foster children), or cases where there is only just child protective services (DCF) involvement.  ",Online Application Process,"All applications for OCH assistance must be made by professionals in the field. (Attorneys, Social workers, CASA, child advocates or other verifiable providers)",,"One Can Help P.O. Box 55, Newton MA 02468, (text) 617-930-3468, info@onecanhelp.org ",,Application-review-criteria-11.8.22.pdf (onecanhelp.org) ,"Before applying, be sure to get a good estimate of the cost of the item or service needed. After your application is approved, we will work together to figure out the best way to pay.We suggest not to submit more than 1-2 applications at a time to avoid confusion. Review their type of needs criteria and eligiblity and gift card policy."
Open Sky Community Services/Autism Services,Autism Services,Worcester County,4 Mann St. Worcester MA 01602,www.openskycs.org,Nonprofit/Community Resource,Autism Services and Support,N/A,n/a,,jenni.young@openskycs.org,"Jenni Young, Assistant Program Coordinator Autism Services 508-599-0231",,
Parent/Professional Advocacy League (PPAL),"Children's Mental Health, Advocacy, Outreach, Research,Training, Family Support, ",All of Massachusetts,"Waltham, MA",www.ppal.net ,Nonprofit,"PPAL provdies support to families and professionals for mental health needs for children. Please visit their website for MANY FREE informative webinars, workshops and support groups!",N/A,Anyone working and living with children,,info@ppal.net; 866-815-8122,,"Statewide Office 77 Rumford Ave., Waltham MA 02453",
"Pathways for Change, Inc.",Rape Crisis Centers,Central Massachusetts,Worcester Office: 588 Main St. Worcester MA 01608 Fitchburg Office: 275 Nichols Road Fitchburg MA 01420,"Contact - Pathways For Change, Inc.",Nonprofit/Community Resource,"Serving Central Massachusetts, we provide support services to any person impacted by Sexual Violence, as well as education that helps End Sexual Violence, and we start by believing.",N/A,Any person impacted by Sexual Violence and any person in need of education to help End Sexual Violence.,"Contact - Pathways For Change, Inc.","Rosa Fernandez, Director of Education and Outreach Rfernandez@pathwaysforchange.help T: 508-852-7600 | M: 508-736-6784","24/7/365 Toll Free Hearing HOTLINE: 800-870-5905
24/7/365 Statewide VP HOTLINE (for Deaf & HoH): 508-502-7681

Office: (508) 852-7600 (M – F, 9 – 5)
FAX: (508) 852-7870
TTY: (888) 887-7130 (M – F, 9 – 5)
TTY Relay (in Mass): 711","FACTS about Sexual Violence:
Chances are you know someone who is a survivor of sexual violence
The perpetrator is most often known to the survivor
It is never the survivors fault
RAPE is the least reported and convicted violent crime in the U.S.
Sexual Violence IS preventable
Healing is possible. Help is available.",https://pathwaysforchange.help/online-safety/
Planting the Seed,Mostly Holiday Gifts for Families/Children in need,Worcester MA,,https://plantingtheseed.org/,Nonprofit,We are 100% volunteer based with all funds directly supporting children and families in need.,N/A,Anyone on behalf of foster children inlcuding Foster Parents,,Contact | Planting the Seed Foundation,,"Sponsors various gift, clothing, and needs events throughout the year in the Worcester area.",For Worcester's neediest families
Plummer Youth Promise,Permanency Mediation Services,"Salem, Lawrence, Wakefield & Springfield, MA",,PlummerYouthPromise.org,n/a,Permanency mediation is an alternative to a contested court proceeding for children who are involved in the foster care system. ,Referral Process,Referrals are made through the Juvenile and Probate & Family Court.,,"For more information call Program Director: Julia A. Pearson, 1-781-433-0313 or jpearson@plummeryouthpromise.org",,"The model uses an independent third party to facilitate a child-centered approach to permanency plannning. By giving parents an opportunity to help develop cooperative plans for the child's future, permanency mediation both empowers and preserves families.",
Quinsigamond Community College,Education Mentoring Program,Massachusetts,"670 West Boylston Street, Worcester MA 01606",Mentoring | Quinsigamond,Government Organization,"Meaningful connections are on the horizon! Our mentoring program connects you with staff, faculty, industry leaders, and community members to create one-on-one mentoring relationships. This unique program provides extensive benefits to students and professional development and networking opportunities for mentors.","To become a QCC Mentee, you must complete an application. Once the application is completed, you will schedule a phone interview with a QCC staff member. After the interview, you will be able to browse through all our available mentors and select your mentor. You can also request a QCC staff member to choose a mentor for you.",Students at QCC,"Drop in, sign up, and get a mentor all at once.",https://qccmentoring.xinspire.com/register,,,
Rise Above Foundation (Presented Nov. 2022 - ASK CASA),"Enrichment activities, opportunities and experiences",All of Massachusetts,"Northbridge, Ma ",www.weriseabove.org,Nonprofit,"Rise Above funds individual activity wishes for foster children through an online application process. All children who are in the physical care and custody of the Massachusetts Department of Children and Families (DCF), are eligible.",Online Application Process,"DCF Social worker, Child or young adult, Foster Parent, Other Support (CASA, teacher, mentor, clinician, etc.) *Please note that the individual completing the application MUST have the approval of the child's DCF social worker. Have their contact information ready to complete the application request.)*",Complete online application at www.weriseabove.org,"Julie Stanwood-Higgins, Smiles Coordinator, julie@weriseabove.org, 855-246-8850",,Be sure to review the lists of what they do and do not fund on their website prior to the request.,
Sibling Connections,"Enrichment activities, opportunities and experiences",All of Massachusetts,89 South St  Suite 203  Boston MA 02111  ,Sibling Connections – Enhancing relationships between siblings separated by foster care,Nonprofit,"Camp Sibling Connections in Maine, Sibling Socials, Weekend Retreats, Youth Leaderhip Program (YLP)","We work closely with DCF social workers, caregivers, and other stakeholders to screen youth for acceptance into our programs. We strive to be as inclusive as possible, but our programs do not offer therapeutic interventions. We use the following guidelines to determine the fit for our programs:   ● At least two siblings living in Massachusetts in separate foster care and/or kinship placements (or adoption of one or more in the sibling group)  ● 7-20 years of age ● Interviews with the DCF social worker assigned to the sibling group for screening and acceptance into the program ● We accept referrals from anyone, but the DCF contact must be provided. To start the enrollment process for any of our programs, please email leslie[at]siblingconnections.org.","We work closely with DCF social workers, caregivers, and other stakeholders to screen youth for acceptance into our programs. We strive to be as inclusive as possible, but our programs do not offer therapeutic interventions. We use the following guidelines to determine the fit for our programs:","In Person: Stop by the Admin Building, Room 200A.",Leslie Hopper leslie@siblingconnections.org ,617-501-1229,,
Silver Lining Mentoring,Youth Mentoring ,Greater Boston Area,,,Nonprofit/Community Resource,,,,Refer A Youth - Silver Lining Mentoring,,,,
Sweet Inspirations,A Candy Store with a Pupose,Milford/Worcester County,19 Central St. Milford MA 01757,"Sweet
Inspirations | How Sweet it is",Nonprofit,"Sweet Inspirations is a non-profit, retail candy and specialty gift shop that provide vocational and employment opportunities for individuals with intellectual and developmental disabilities. ",n/a,"Shop in store or online, they make custom orders for events and groups. ",Visit in person 19 Central St. Milford MA 01757 or online at https://sweetinspirationsmilford.com/,sweetinspirations2022@gmail.com,508-205-7904,Store Hours: Tues. Wed. and Fri. 11am - 6 PM                  Thurs. 11am - 7 pm and Saturday 10am - 4 pm. ,
The Gifted Crate,Birthday Gifts,Massachusetts,,www.thegiftedcratema.org,Nonprofit,The Gifted Crate's mission is to deliver a customized birthday-in-a-box to as many children in foster care as possible across Massachusetts.,Online Application Process,DCF Social Workers identify children deserving of a birthday crate and submit a request to The Gifted Crate. Social Workers may email thegiftedcrate@gmail.com to request a birthday crate request form. Requests must be submitted two weeks prior to requested delivery date.,,mary@thegiftedcratema.org,,We serve foster children through MA DCF as well as military families residing in Massachusetts who have opened their homes and hearts to these children. Please follow us on social media as we share regular updates on our journey and crate deliveries.,
The Jason Hayes Foundation ,"Scholarships, Grants, Outreach and Online Support","Medford, MA",,Scholarships for Foster Children | The Jason Hayes Foundation,Nonprofit,"Established in 2005, the Jason Hayes Foundation works to support children and young adults who have suffered from early childhood trauma including mental, physical, and emotional abuse.The Foundation exists primarily to provide scholarships to children who will benefit greatly from attending a specialized camp or program to help them work through the after effects of this trauma and those attending a two or four year college or university. We also provide grants to camps and programs who work with these children and provide education for those who support them.",Online Application Process,"Scholarships are most frequently awarded to those who are or have been in the foster care system, experienced early childhood trauma, abuse, and neglect. Need to be Massachusetts residents as well. Grants are available to another non-profit direct care organizations.",,"Jason Hayes Foundation, 284 Salem Street, Medford MA 02155, fax: 781-23209312 email: dot@jaysonhayesfoundation.org ",,Also see their information regarding grants for non-profit direct care organizations. https://jasonhayesfoundation.org/grant-program/apply/,
The Wonderfund,"Resources, Enrichment, Emergency Aid, Home Modifications",All of Massachusetts,Boston,Homepage - Wonderfund of Massachusetts (wonderfundma.org),Nonprofit,"Their services include providing emergency aid services, enrichment opportunities, everyday essentials such as toiletries and school supplies, access to cultural experiences across the Commonwealth, holiday gifts and more! They also offer the Wonderfund Access Card is like a AAA card created just for DCF foster families. Wonderfund partners with incredible organizations across the state to offer discounted or free admission to family-friendly experiences, including museums, theaters, outdoor spaces, and treasured destinations. ",Online Application Process,DCF Social Worker is the only way to access Wonderfund resources.,,Contact - Wonderfund of Massachusetts (wonderfundma.org),,"Any child, aged 0 – 24, who is involved with The Department of Children and Families.",
THRIVE ,Support and Advocacy for people and their families living with intellectual and developmental disabilities (I/DD).,Greater Worcester and Marlborough Area ,Office in Worcester (100 Grove St.) and Marlborough MA,www.icanthrive.org,Nonprofit/Community Resource,"Services include but are not limited to: Community residences, Workshopd for families and caregivers,Family support, Community-based day support, Flourish at Thrive Food Pantry, Respite, Navigation assistance.","Empowering youth and adults with developmental disabilities, and their families, to lead rich, active and self-directed lives.",Individuals and families living with developmental and intelletual disabilities (I/DD),"508-485-4227, info@icanthrive.org, www.icanthrive.org",info@icanthrive.org,508-485-4227,"Thrive offers social and recreational programs as well. They include but are not limited to: A Prom for All Ages and other dances/parties, Thrive After School Community, Fitness classes, Sports activities, Vacation day camps, Community field trips, Volunteering.",
TriTogether,Free Online Academic Tutoring,All of Massachusetts,Massachusetts,TriTogether,Nonprofit/Community Resource,Free online tutoring for children in foster care and adopted out of foster care.,August 2025 - TriTogether Corp Referral Steps.pdf,August 2025 - TriTogether Corp Referral Steps.pdf,Student Referral — TriTogether,info@tritogether.org,n/a,TriTogether will work to offer free tutoring services for students whose circumstances have previously made tutoring inaccessible. ,
Wandering Heart Project,Day to Day Essentials/Clothing,"Bridgewater & Franklin, MA",,Home | Wandering Heart Proj (wanderingheartproject.org),Nonprofit,The Wandering Heart Project is to ensure foster and homeless children of all ages throughout Massachusetts have access to basic essentials and clothing.,Online Contact Form,Anyone on behalf of foster children inlcuding Foster Parents,,Contact | Wandering Heart Proj (wanderingheartproject.org),,"The Wandering Heart Project now manages donations from their warehouse in Rockland, MA and storage unit in Franklin, MA. WHP makes regular donations to foster children all over Massachusetts along with children experiencing homelessness. They have  also partnered with the Brockton WIC office to provide ""Wander Bags"" to families in crisis.",
WE'VE GOT YOUR BACKpack,School Supplies for children and families in foster care,"Primarily Northeast, but can make arrangements to provide resources statewide",,We've Got Your BACKpack | Facebook,Nonprofit,"These backpacks frequently become more than a place for school supplies. They can also become a lifeline for children being transitioned into foster care, replacing the trash bags that too many children are still asked to stuff their limited possessions into.",N/A,Anyone on behalf of foster children inlcuding Foster Parents,,"Reach out to me personally through email, cell, or Facebook messenger on the WGYB Page, https://www.facebook.com/profile.php?id=100067779848128. Deborah Sweet dmsweet@gmail.com",508-400-2323,,
"WIC & SNAP (Women, Infants and Children) Supplemental Nutrition Assistance Program",Financial assistance with Food and Nutritional needs,All of Massachusetts,Over 30 area offices all across Massachusetts call 1-800-WIC-1007 or 1-800-942-1007,www.mass.gov/forms/apply-for-wic-online     https://link.edgepilot.com/s/624b6a00/qGmXjQ4q00WMYVThIfJQ1A?u=https://www.mass.gov/wic-information-for-participants/locations?_page=1,Government Organization,Visit website for eligibility form. It is recommended to use WIC and SNAP together as they compliment what items you can purchase with each benefit. Men can apply too and Foster children under 5 are automatically eligible for these services.,Income Eligibility Guidelines on Website,"If you are a father, mother, grand parent, foster parent or other legal guardian of a child under 5, you can apply. WIC is for all kinds of families, married and single parents, working or not working.",Online eligibility form https://link.edgepilot.com/s/166326c2/FNpHUUnXtkCSW7mUUvt7UQ?u=http://www.mass.gov/forms/apply-for-wic-online,n/a,1-800-942-1007,"It is possible to start an application for WIC on-line by visiting  www.mass.gov/wic or the Mass Wic Facebook page, @MassWIC. Interested families can click on 'Apply for WIC' and submit some basic information to get thier application started. Or you can contact the WIC Program in your community to set up an appointment or call 1-800-942-1007. Many WIC Offices are open in the evenings and on Saturdays so you do not have to miss school or work. Walk-ins are always welcome!",
"Worcester Area Mission Society, UCC",Missions support,Worcester,"6 Institute Road, Worcester MA 01609",About Us | Worcester Area Mission Society (wamsworks.org),Nonprofit,"Work with individuals and community partners to inspire economic and educational equity through social change. Our vision is focused on programs and activities that fuel inclusion, voice and opportunity for all.",,,,office@wamsworks.org,508-755-2329,Please visit website: https://www.wamsworks.org/about-us,
Worcester County Juvenile Court Clinic,Evaluation Services for youth 7-18 years old,Worcester County,225 Main St. Room 1009 Worcester MA 01608,N/A,Government Organization,A program of Community Healthlink's Youth and Family Services including Mobile Crisis,N/A,"Court Ordered, Attorney, Case Manager, Family ","Julie Ann Lamacchia, LICSW, CJCC I, Program Director",Worcester Team: 1-866-549-2141 North Cental Worcester County Team: 1-800-977-5555 South Central Worcester County Team: 1-800-294-4665,508-831-2093,"Clients who are ordered by the Juvenile Court are evaluated by the JCC. Our service population is primarily children and youth age 7-18 who fall under the jurisdiction of the Juvenile Court for status of delinquency offenses. Since the JCC may also provide fornesic parenting evaluations pursuant to Care and Protection matters, our population served may expand from infancy to adulthood depending on those case circumstances and the nature of the court-ordered referral.",
Worcester Cultural Coalition ,Arts and Culture Connections,Worcester County,"Worcester Cultural Coalition 455 Main Street, 4th Floor, Worcester MA 01608",Home - WCC (worcesterculture.org),Nonprofit,"The Worcester Cultural Coalition ( WCC) is a public-private partnership established in 1999 between the City of Worcester and twelve cultural organizations. Today membership stands at 80 organizations, accounting for more than 2.7 million visitors to Worcester in calendar 2015, up from 1.5 million in 2006. Its mission is to draw on Worcester’s rich and diverse cultural assets to foster economic revitalization, support active, creative engagement for all and promote a strong cultural identity for Greater Worcester.",N/A,n/a,Program Director,fabian@worcesterculturalcoalition.ccsend.com,,Sign up for newsletter for Cultural events in Worcester County for all ages,
Worcester Parent/Caregiver Guide to Community Services,This booklet is meant to ease locating services for parents and caregivers.,Worcester County,Worcester,GUIDEENGLISH.pdf - Google Drive,Nonprofit/Community Resource,This is a printable booklet that highlights services for parents and caregivers in the Worcester Area. Version June 2024,N/A,This is a viewable/printable document for services and programs available to parents and caregivers in the Worcester Area.,jlamacchia@communityhealthlink.org,,,,
W.S.R. Wellness Coaching,"Wellness, meditation and mindfulness coaching for teen and adults ",Worcester County,Worcester,www.wsrwellnesscoaching.com,Nonprofit/Community Resource,"Meditation, MIndfulness, Yoga and Wellness coaching for teens and adults. Ages High school and up.",N/A,,Contact Founder: Jacqueline Monteiro,jacquelinemonteiro167@gmail.com,508-665-9016,,
Worcester Youth Center,"Educational, recreational and social facility for youth ages 14 to 24",Worcester County,"326 Chandler Street, Worcester MA 01602",worcesteryouthcenter.org,Noprofit/Community Resource,"To provide a safe place where young people can build lasting, positive changes in their lives. ",Membership is free. Tranportation is provided. For youth between the ages of 14 and 24.,"Membership is free. To become a member, come down to the Center located at 326 Chandler St. Worcester MA 01602 and fill out a membership form. If you are under the age of 18, you need a parent or guardian's signature.","Membership is free. To become a member, come down to the Center located at 326 Chandler St. Worcester MA 01602 and fill out a membership form. If you are under the age of 18, you need a parent or guardian's signature.",info@worcesteryouthcenter.org,Tel: 508-791-4702  Fax: 508-791-3613,"Resources, Academic Support, Work Preparation, Creative Expression and Leadership, Health, Recreation and Positive Social Interaction.",
